Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
302.66	9.6170	undefined	2.2126	2.3859	7.6939	1000.0	0.0010000	2.2126	2.3859	7.6939	73.675	74.849	1524.1	-0.21833	0.00080488	0.61901	1000.0	0.0010000	2.2126	2.3859	7.6939	73.675	74.849	1524.1	-0.21833	0.00080488	0.61901
303.16	9.9707	undefined	2.2494	2.4291	7.8154	1000.0	0.0010000	2.2494	2.4291	7.8154	73.621	74.833	1525.9	-0.21802	0.00079642	0.61998	1000.0	0.0010000	2.2494	2.4291	7.8154	73.621	74.833	1525.9	-0.21802	0.00079642	0.61998
303.66	10.330	undefined	2.2862	2.4723	7.9367	1000.0	0.0010000	2.2862	2.4723	7.9367	73.567	74.818	1527.7	-0.21770	0.00078811	0.62095	1000.0	0.0010000	2.2862	2.4723	7.9367	73.567	74.818	1527.7	-0.21770	0.00078811	0.62095
304.16	10.695	undefined	2.3230	2.5157	8.0577	1000.0	0.0010000	2.3230	2.5157	8.0577	73.512	74.803	1529.4	-0.21739	0.00077994	0.62191	1000.0	0.0010000	2.3230	2.5157	8.0577	73.512	74.803	1529.4	-0.21739	0.00077994	0.62191
304.66	11.066	undefined	2.3597	2.5591	8.1784	1000.0	0.0010000	2.3597	2.5591	8.1784	73.458	74.787	1531.2	-0.21708	0.00077192	0.62288	1000.0	0.0010000	2.3597	2.5591	8.1784	73.458	74.787	1531.2	-0.21708	0.00077192	0.62288
305.16	11.442	undefined	2.3965	2.6026	8.2988	1000.0	0.0010000	2.3965	2.6026	8.2988	73.403	74.772	1533.0	-0.21677	0.00076404	0.62384	1000.0	0.0010000	2.3965	2.6026	8.2988	73.403	74.772	1533.0	-0.21677	0.00076404	0.62384
305.66	11.824	undefined	2.4331	2.6462	8.4189	1000.0	0.0010000	2.4331	2.6462	8.4189	73.348	74.757	1534.7	-0.21647	0.00075629	0.62480	1000.0	0.0010000	2.4331	2.6462	8.4189	73.348	74.757	1534.7	-0.21647	0.00075629	0.62480
306.16	12.211	undefined	2.4698	2.6898	8.5388	1000.0	0.0010000	2.4698	2.6898	8.5388	73.292	74.742	1536.4	-0.21617	0.00074868	0.62575	1000.0	0.0010000	2.4698	2.6898	8.5388	73.292	74.742	1536.4	-0.21617	0.00074868	0.62575
306.66	12.604	undefined	2.5064	2.7335	8.6583	1000.0	0.0010000	2.5064	2.7335	8.6583	73.236	74.727	1538.2	-0.21586	0.00074120	0.62671	1000.0	0.0010000	2.5064	2.7335	8.6583	73.236	74.727	1538.2	-0.21586	0.00074120	0.62671
307.16	13.002	undefined	2.5430	2.7773	8.7776	1000.0	0.0010000	2.5430	2.7773	8.7776	73.180	74.712	1539.9	-0.21556	0.00073385	0.62766	1000.0	0.0010000	2.5430	2.7773	8.7776	73.180	74.712	1539.9	-0.21556	0.00073385	0.62766
307.66	13.406	undefined	2.5796	2.8211	8.8966	1000.0	0.0010000	2.5796	2.8211	8.8966	73.124	74.697	1541.6	-0.21527	0.00072663	0.62861	1000.0	0.0010000	2.5796	2.8211	8.8966	73.124	74.697	1541.6	-0.21527	0.00072663	0.62861
308.16	13.815	undefined	2.6162	2.8650	9.0153	1000.0	0.0010000	2.6162	2.8650	9.0153	73.068	74.682	1543.3	-0.21497	0.00071952	0.62956	1000.0	0.0010000	2.6162	2.8650	9.0153	73.068	74.682	1543.3	-0.21497	0.00071952	0.62956
308.66	14.229	undefined	2.6527	2.9090	9.1337	1000.0	0.0010000	2.6527	2.9090	9.1337	73.011	74.667	1545.1	-0.21468	0.00071254	0.63050	1000.0	0.0010000	2.6527	2.9090	9.1337	73.011	74.667	1545.1	-0.21468	0.00071254	0.63050
309.16	14.648	undefined	2.6892	2.9531	9.2518	1000.0	0.0010000	2.6892	2.9531	9.2518	72.955	74.652	1546.8	-0.21438	0.00070567	0.63145	1000.0	0.0010000	2.6892	2.9531	9.2518	72.955	74.652	1546.8	-0.21438	0.00070567	0.63145
309.66	15.073	undefined	2.7256	2.9972	9.3697	1000.0	0.0010000	2.7256	2.9972	9.3697	72.898	74.638	1548.5	-0.21409	0.00069892	0.63239	1000.0	0.0010000	2.7256	2.9972	9.3697	72.898	74.638	1548.5	-0.21409	0.00069892	0.63239
310.16	15.503	undefined	2.7621	3.0414	9.4872	1000.0	0.0010000	2.7621	3.0414	9.4872	72.840	74.623	1550.2	-0.21381	0.00069228	0.63332	1000.0	0.0010000	2.7621	3.0414	9.4872	72.840	74.623	1550.2	-0.21381	0.00069228	0.63332
310.66	15.938	undefined	2.7985	3.0856	9.6045	1000.0	0.0010000	2.7985	3.0856	9.6045	72.783	74.608	1551.9	-0.21352	0.00068575	0.63426	1000.0	0.0010000	2.7985	3.0856	9.6045	72.783	74.608	1551.9	-0.21352	0.00068575	0.63426
311.16	16.378	undefined	2.8349	3.1299	9.7215	1000.0	0.0010000	2.8349	3.1299	9.7215	72.726	74.593	1553.5	-0.21323	0.00067932	0.63519	1000.0	0.0010000	2.8349	3.1299	9.7215	72.726	74.593	1553.5	-0.21323	0.00067932	0.63519
311.66	16.823	undefined	2.8712	3.1743	9.8382	1000.0	0.0010000	2.8712	3.1743	9.8382	72.668	74.579	1555.2	-0.21295	0.00067301	0.63612	1000.0	0.0010000	2.8712	3.1743	9.8382	72.668	74.579	1555.2	-0.21295	0.00067301	0.63612
312.16	17.274	undefined	2.9075	3.2187	9.9547	1000.0	0.0010000	2.9075	3.2187	9.9547	72.610	74.564	1556.9	-0.21267	0.00066679	0.63705	1000.0	0.0010000	2.9075	3.2187	9.9547	72.610	74.564	1556.9	-0.21267	0.00066679	0.63705
312.66	17.729	undefined	2.9438	3.2632	10.071	1000.0	0.0010000	2.9438	3.2632	10.071	72.552	74.549	1558.6	-0.21239	0.00066068	0.63797	1000.0	0.0010000	2.9438	3.2632	10.071	72.552	74.549	1558.6	-0.21239	0.00066068	0.63797
313.16	18.189	undefined	2.9801	3.3078	10.187	1000.0	0.0010000	2.9801	3.3078	10.187	72.494	74.535	1560.2	-0.21212	0.00065466	0.63889	1000.0	0.0010000	2.9801	3.3078	10.187	72.494	74.535	1560.2	-0.21212	0.00065466	0.63889
313.66	18.655	undefined	3.0163	3.3524	10.302	1000.0	0.0010000	3.0163	3.3524	10.302	72.435	74.520	1561.9	-0.21184	0.00064874	0.63981	1000.0	0.0010000	3.0163	3.3524	10.302	72.435	74.520	1561.9	-0.21184	0.00064874	0.63981
314.16	19.125	undefined	3.0525	3.3971	10.418	1000.0	0.0010000	3.0525	3.3971	10.418	72.377	74.506	1563.5	-0.21157	0.00064291	0.64073	1000.0	0.0010000	3.0525	3.3971	10.418	72.377	74.506	1563.5	-0.21157	0.00064291	0.64073
314.66	19.600	undefined	3.0887	3.4418	10.533	1000.0	0.0010000	3.0887	3.4418	10.533	72.318	74.491	1565.2	-0.21129	0.00063718	0.64164	1000.0	0.0010000	3.0887	3.4418	10.533	72.318	74.491	1565.2	-0.21129	0.00063718	0.64164
315.16	20.079	undefined	3.1248	3.4866	10.647	1000.0	0.0010000	3.1248	3.4866	10.647	72.260	74.477	1566.8	-0.21103	0.00063154	0.64255	1000.0	0.0010000	3.1248	3.4866	10.647	72.260	74.477	1566.8	-0.21103	0.00063154	0.64255
